id,name,platform,year,genre,publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,img,info
0,The Incredibles / Finding Nemo,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76,,
1,Hitman: Absolution,X360,2012,Action,Square Enix,0.68,0.9,0.01,0.17,1.76,games/image/Hitman.jpg,games/text/Hitman.txt
2,BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76,,
3,State of Emergency,PS2,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,1.76,,
4,Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft,1.23,0.46,0,0.07,1.76,,
5,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,,
6,Kid Icarus,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,,
7,Sonic the Hedgehog 3,GEN,1994,Platform,Sega,1.02,0.47,0.2,0.07,1.76,games/image/Golden.jpg,games/text/Golden.txt
8,Golden Sun,GBA,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,,
9,The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.06,0.54,0,0.16,1.76,,
10,WWF Attitude,PS,1998,Fighting,Acclaim Entertainment,1.27,0.42,0,0.07,1.76,,
11,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,,
12,UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.07,0.45,0.01,0.24,1.77,,
13,Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,,
14,Final Fantasy II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,games/image/FinalFantasy.jpg,games/text/FinalFantasy.txt
15,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77,,
16,Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.59,0.03,0,0.15,1.77,,
17,Wii Party U,WiiU,2013,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77,,
18,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios,1.16,0.45,0,0.16,1.77,,
19,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,,
20,The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77,,
21,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78,,
22,Just Cause 2,PS3,2010,Action,Square Enix,0.45,0.94,0.06,0.33,1.78,games/image/JustCause.jpg,games/text/JustCause.txt
23,Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78,,
24,The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,,
25,SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ,1.12,0.58,0,0.08,1.78,,
26,Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,0.23,0.03,1.49,0.03,1.78,,
27,Midnight Club II,PS2,2003,Racing,Take-Two Interactive,1.25,0.29,0,0.24,1.78,,
28,Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14,1.78,,
29,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79,,
30,Disney's The Lion King,SNES,1994,Platform,Virgin Interactive,1.26,0.39,0.08,0.06,1.79,games/image/Lionking.jpg,games/text/Lionking.txt
31,Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.49,0.96,0.07,0.27,1.79,games/image/COD.jpg,games/text/COD.txt
32,NFL GameDay 2000,PS,1999,Sports,989 Studios,1,0.68,0,0.12,1.8,,
33,NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,1.8,,
34,Madden NFL 07,X360,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.8,,
35,Sonic Advance 2,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8,,
36,Guitar Hero: World Tour,PS2,2008,Misc,Activision,1,0.03,0,0.77,1.8,,
37,Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,0.23,1.81,,
38,Virtua Fighter 4,PS2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81,,
39,Crazy Taxi,DC,2000,Racing,Sega,1.1,0.51,0.12,0.08,1.81,,
40,DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81,,
41,The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81,,
42,Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81,,
43,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82,,
44,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,1.81,0,0,0,1.82,,
45,Namco Museum,PS2,2001,Misc,Namco Bandai Games,1.73,0.07,0,0.02,1.82,,
46,Sonic & Knuckles,GEN,1994,Platform,Sega,1.24,0.43,0.03,0.12,1.82,,
47,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82,,
48,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,,
49,The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83,,
50,Secret of Mana,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83,,
51,Just Cause 3,PS4,2015,Action,Square Enix,0.46,1.02,0.07,0.28,1.83,,
52,Jet Moto,PS,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,,
53,World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,0.84,0.76,0,0.23,1.83,,
54,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,,
55,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0,1.83,,
56,NCAA Football 06,PS2,2005,Sports,Electronic Arts,1.53,0.05,0,0.25,1.84,,
57,Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,,
58,Gran Turismo Concept 2001 Tokyo,PS2,2001,Racing,Unknown,0,1.1,0.42,0.33,1.84,,
59,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85,,
60,Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,,
61,Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,,
62,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0,0.2,1.85,,
63,Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,0.03,1.85,,
64,Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85,,
65,GoldenEye 007 (2010),Wii,2010,Action,Activision,0.85,0.71,0.13,0.16,1.86,,
66,Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,,
67,Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,1.34,0.37,0,0.15,1.86,,
68,NBA Live 2002,PS2,2001,Sports,Electronic Arts,0.91,0.71,0,0.24,1.86,,
69,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86,,
70,SingStar,PS2,2004,Misc,Sony Computer Entertainment,0,1.37,0,0.49,1.86,,
71,Turok 2: Seeds of Evil,N64,1997,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86,,
72,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,,
73,Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,,
74,Madden NFL 06,XB,2005,Sports,Electronic Arts,1.75,0.03,0,0.08,1.86,,
75,The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86,,
76,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87,,
77,Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87,,
78,FIFA 2000,PS,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87,,
79,Star Fox Adventures,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,,
80,WCW Nitro,PS,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88,,
81,Medal of Honor: European Assault,PS2,2005,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88,,
82,Hot Shots Golf 2,PS,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,,
83,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,0.92,0.72,0,0.24,1.88,,
84,Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0,0.08,1.88,,
85,Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88,,
86,Yokai Watch,3DS,2013,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89,,
87,Madden NFL 09,PS3,2008,Sports,Electronic Arts,1.56,0.15,0,0.18,1.89,,
88,Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89,,
89,Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9,,
90,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,,
91,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.08,0.66,0,0.17,1.91,,
92,Destiny: The Taken King,PS4,2015,Shooter,Activision,0.77,0.78,0.04,0.31,1.91,,
93,Game Party 2,Wii,2008,Misc,Midway Games,1.3,0.44,0,0.17,1.91,,
94,Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.14,0.57,0,0.19,1.91,,
95,Mario Party 3,N64,2000,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91,,
96,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.06,0.67,0,0.18,1.92,,
97,PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,,
98,MX Unleashed,PS2,2004,Racing,THQ,0.94,0.73,0,0.25,1.92,,
99,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts,1.03,0.8,0,0.09,1.92,,
100,Red Faction,PS2,2001,Shooter,THQ,0.76,0.96,0,0.2,1.92,,
101,Monopoly,Wii,2008,Misc,Electronic Arts,0.87,0.85,0,0.2,1.92,,
102,Need for Speed: Shift,X360,2009,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92,,
103,The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06,1.92,,
104,Tomb Raider (2013),X360,2013,Action,Square Enix,0.86,0.87,0.01,0.17,1.92,,
105,Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.51,0,0.29,0.12,1.93,,
106,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93,,
107,Mortal Kombat vs. DC Universe,X360,2008,Fighting,Midway Games,1.53,0.24,0,0.16,1.93,,
108,Tetris DX,GB,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93,,
109,Virtua Fighter 2,SAT,1995,Fighting,Sega,0.34,0.26,1.3,0.03,1.93,,
110,Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.48,0.39,0,0.06,1.93,,
111,Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0,0.17,1.93,,
112,X-Men Legends,PS2,2004,Role-Playing,Activision,1,0.72,0,0.21,1.93,,
113,Jet Moto 2,PS,1997,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94,,
114,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,,
115,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ,0.59,1.23,0,0.13,1.94,,
116,Alleyway,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,,
117,Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94,0,0,0,1.94,,
118,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,,
119,Def Jam Vendetta,PS2,2003,Fighting,Electronic Arts,0.95,0.74,0,0.25,1.94,,
120,NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,1.69,0.2,0,0.06,1.95,,
121,Star Wars: Dark Forces,PC,1994,Shooter,LucasArts,1.09,0.77,0,0.09,1.95,,
122,Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0,0.09,1.95,,
123,Crash Nitro Kart,PS2,2003,Racing,Vivendi Games,0.74,1.01,0,0.2,1.95,,
124,Destiny,X360,2014,Shooter,Activision,1.3,0.49,0,0.16,1.95,,
125,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96,,
126,Kirby Squeak Squad,DS,2006,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96,,
127,Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,,
128,Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,,
129,Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,,
130,E.T.: The Extra Terrestrial,JP,1981,Action,Atari,1.84,0.11,0,0.02,1.97,,
131,Burnout Paradise,PS3,2008,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97,,
132,Devil May Cry 2,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97,,
133,Call of Duty: World at War,Wii,2008,Shooter,Activision,1.2,0.59,0,0.19,1.97,,
134,Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,0.74,0.95,0,0.28,1.97,,
135,Sonic Classic Collection,DS,2010,Platform,Sega,0.99,0.8,0,0.18,1.97,,
136,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97,,
137,Resident Evil 6,X360,2012,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,,
138,Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0,0.16,1.98,,
139,Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,,
140,SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,,
141,Tennis,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,,
142,Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,,
143,Super Street Fighter II,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2,,
144,DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2,,
145,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2,,
146,LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2,,
147,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.2,0.62,0,0.18,2.01,,
148,TouchMaster,DS,2007,Puzzle,Midway Games,0.49,1.27,0,0.25,2.01,,
149,Forza Horizon,X360,2012,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02,,
150,Madden NFL 15,X360,2014,Sports,Electronic Arts,1.76,0.09,0,0.17,2.02,,
151,Call of Duty 2,X360,2005,Shooter,Activision,1.81,0.05,0.01,0.15,2.02,,
152,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0,0.3,2.02,,
153,NBA Live 2004,PS2,2003,Sports,Electronic Arts,1.57,0.18,0,0.27,2.03,,
154,Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.4,0,0.16,2.03,,
155,1080Â°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,,
156,Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04,,
157,Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,,
158,Peter Jackson's King Kong,PS2,2005,Action,Ubisoft,0.71,1.02,0,0.31,2.04,,
159,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04,,
160,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.73,1.09,0,0.23,2.04,,
161,Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04,,
162,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04,,
163,PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05,,
164,NBA Jam,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0,0.05,2.05,,
165,Diablo III,PS3,2013,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05,,
166,Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,,
167,PokÃ©mon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.16,0.06,0.83,0,2.05,,
168,NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.43,0.33,0.04,0.25,2.05,,
169,Carnival Games,DS,2008,Misc,Take-Two Interactive,1.23,0.64,0,0.19,2.05,,
170,Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,0.73,0.92,0.04,0.37,2.05,,
171,Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06,,
172,SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,,
173,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,,
174,The Incredibles,GBA,2004,Action,THQ,1.15,0.77,0.04,0.1,2.06,,
175,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,,
176,Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,Ubisoft,1.2,0.63,0.04,0.19,2.06,,
177,The Sims 3,PS3,2010,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,2.06,,
178,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,Konami Digital Entertainment,1.64,0.36,0,0.07,2.07,,
179,Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,2.07,,
180,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07,,
181,Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,1.54,0.46,0,0.08,2.07,,
182,Skate 3,PS3,2010,Sports,Electronic Arts,0.79,0.94,0,0.35,2.08,,
183,Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,0.89,1.08,0,0.11,2.08,,
184,Sim Theme Park,PC,1998,Strategy,Electronic Arts,2.04,0.04,0,0,2.08,,
185,Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,2.08,,
186,Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,,
187,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.36,0.52,0,0.2,2.08,,
188,Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08,,
189,Tetris Worlds,PS2,2002,Puzzle,THQ,1.11,0.71,0,0.27,2.08,,
190,World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.77,0.32,0,0,2.08,,
191,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09,,
192,The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.94,0,0.22,2.09,,
193,Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09,,
194,Wipeout: The Game,Wii,2009,Misc,Mindscape,1.97,0,0,0.12,2.09,,
195,Finding Nemo,PS2,2003,Action,THQ,1.26,0.6,0.05,0.18,2.09,,
196,Dead Rising,X360,2006,Action,Capcom,1.16,0.65,0.08,0.2,2.09,,
197,Derby Stallion,PS,1997,Sports,ASCII Entertainment,0,0,1.96,0.14,2.09,,
198,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,,
199,Portal 2,X360,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1,,
200,Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,1.77,0.13,0.02,0.18,2.1,,
201,Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,,
202,Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,THQ,1.17,0.72,0,0.22,2.1,,
203,Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,,
204,Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.33,0,0.15,2.11,,
205,Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,,
